IDs_interactor_A	IDs_interactor_B	interactor_IDs_databases_A	interactor_IDs_databases_B	Taxid_interactor_A	Taxid_interactor_B	Publication_Identifiers	Confidence_values	Host_organisms	bait_prey_status_A	bait_prey_status_B	Interaction_detection_methods	Interaction_types	Interaction_identifiers	Expansion_methods	Features_interactor_A	Features_interactor_B	Identification_method_participant_A	Identification_method_participant_B	binding_region_A_start	binding_region_A_end	binding_region_B_start	binding_region_B_end	binding_region_A_type	binding_region_B_type	pair_id
P20988	P68615	uniprotkb	uniprotkb	10249	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272666|mint:MINT-17601	-	tag:?-?(MINT-416954)	tag:?-?(MINT-416948)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P20988|P68615
P03296	P04297	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272720|mint:MINT-15301	-	tag:?-?(MINT-416926)	tag:?-?(MINT-416920)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P03296|P04297
P23372	Q01219	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272757|mint:MINT-16597	-	tag:?-?(MINT-416940)	tag:?-?(MINT-416934)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P23372|Q01219
P20997	P20997	uniprotkb	uniprotkb	10249	10249	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272799|mint:MINT-15293	-	tag:?-?(MINT-416983)	tag:?-?(MINT-416977)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P20997|P20997
P26669	P29191	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272923|mint:MINT-17191	-	tag:?-?(MINT-417021)	tag:?-?(MINT-417027)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P26669|P29191
P21114	Q76ZN5	uniprotkb	uniprotkb	10249	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272865|mint:MINT-13975	-	tag:?-?(MINT-416991)	tag:?-?(MINT-416997)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P21114|Q76ZN5
Q01219	Q01219	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272957|mint:MINT-14252	-	tag:?-?(MINT-417113)	tag:?-?(MINT-417107)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							Q01219|Q01219
P26669	P26669	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272940|mint:MINT-17196	-	tag:?-?(MINT-417035)	tag:?-?(MINT-417041)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P26669|P26669
P07616	P07616	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273046|mint:MINT-15546	-	tag:?-?(MINT-417251)	tag:?-?(MINT-417257)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P07616|P07616
P24764	P68446	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7272999|mint:MINT-16906	-	tag:?-?(MINT-417170)	tag:?-?(MINT-417164)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P24764|P68446
P07616	P26669	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273063|mint:MINT-13809	-	tag:?-?(MINT-417271)	tag:?-?(MINT-417265)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P07616|P26669
P20996	P29192	uniprotkb	uniprotkb	10249	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273092|mint:MINT-15344	-	tag:?-?(MINT-417365)	tag:?-?(MINT-417371)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P20996|P29192
P21605	P21605	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273120|mint:MINT-14640	-	tag:?-?(MINT-417399)	tag:?-?(MINT-417393)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P21605|P21605
P20986	P20998	uniprotkb	uniprotkb	10249	10249	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273137|mint:MINT-13644	-	tag:?-?(MINT-417156)	tag:?-?(MINT-417150)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P20986|P20998
P07242	P16913	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273181|mint:MINT-16334	-	tag:?-?(MINT-417136)	tag:?-?(MINT-417142)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P07242|P16913
P68613	P68613	uniprotkb	uniprotkb	10254	10254	10781095	0.57	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273235|mint:MINT-16593	-	tag:?-?(MINT-417308)	tag:?-?(MINT-417314)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P68613|P68613
P07610	P68613	uniprotkb	uniprotkb	10254	10254	10781095	0.63	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273268|mint:MINT-16445	-	tag:?-?(MINT-417322)	tag:?-?(MINT-417328)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P07610|P68613
P20513	P20998	uniprotkb	uniprotkb	10249	10249	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273323|mint:MINT-18163	-	tag:?-?(MINT-417121)	tag:?-?(MINT-417127)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P20513|P20998
P07242	P31037	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273380|mint:MINT-15852	-	tag:?-?(MINT-417198)	tag:?-?(MINT-417192)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P07242|P31037
P07242	P68456	uniprotkb	uniprotkb	10254	10254	10781095	0.68	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273362|mint:MINT-17020	-	tag:?-?(MINT-417078)	tag:?-?(MINT-417084)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P07242|P68456
P03295	P24360	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273408|mint:MINT-15783	-	tag:?-?(MINT-417184)	tag:?-?(MINT-417178)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P03295|P24360
P04310	P68615	uniprotkb	uniprotkb	10254	10254	10781095	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273486|mint:MINT-14551	-	tag:?-?(MINT-417407)	tag:?-?(MINT-417413)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P04310|P68615
P04311	P21020	uniprotkb	uniprotkb	10254	10249	10781095	0.37	-4	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7273503|mint:MINT-14787	-	tag:?-?(MINT-417385)	tag:?-?(MINT-417379)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P04311|P21020
P16736	P17149	uniprotkb	uniprotkb	10360	10360	12076828	0.4	-4	prey	bait	"psi-mi:""MI:0019""(coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-8481946|mint:MINT-17177	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							P16736|P17149
P16736	P16827	uniprotkb	uniprotkb	10360	10360	12076828	0.54	-4	bait	prey	"psi-mi:""MI:0019""(coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-8481995|mint:MINT-14879	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							P16736|P16827
P16827	P17149	uniprotkb	uniprotkb	10360	10360	12076828	0.54	-4	prey	bait	"psi-mi:""MI:0019""(coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-8481984|mint:MINT-14183	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							P16827|P17149
P16827	P17149	uniprotkb	uniprotkb	10360	10360	12076828	0.54	-1	prey	bait	"psi-mi:""MI:0096""(pull down)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-8482032|mint:MINT-14182	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							P16827|P17149
P16736	P16827	uniprotkb	uniprotkb	10360	10360	12076828	0.54	-1	bait	prey	"psi-mi:""MI:0096""(pull down)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-8482043|mint:MINT-14878	-	-	-	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"							P16736|P16827
P10186	P14739	uniprotkb	uniprotkb	10299	10684	7552746	0.44	-1	unspecified role	unspecified role	"psi-mi:""MI:0114""(x-ray crystallography)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-8581576|mint:MINT-24794	-	tag:?-?(MINT-1506618)	tag:?-?(MINT-1506625)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P10186|P14739
P59595	P59595	uniprotkb	uniprotkb	227859	227859	15848177	0.4	9606	prey	bait	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7602801|mint:MINT-58585|imex:IM-11103-3	-	-	tag:?-?(MINT-1346241)|mutation disrupting interaction:62-62(MINT-1346239)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P59595|P59595
P69616	P69616	uniprotkb	uniprotkb	31767	31767	16140784	0.37	-4	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7810360|mint:MINT-68721	-	tag:?-?(MINT-1367084)	tag:?-?(MINT-1367091)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P69616|P69616
O92837	P03087	uniprotkb	uniprotkb	1891767	1891767	12021324	0.7	-1	bait	prey	"psi-mi:""MI:0096""(pull down)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-8423400|mint:MINT-69610	-	binding-associated region:200-234(MINT-715460)|glutathione s tranferase tag:?-?(MINT-715462)	his tag:?-?(MINT-715471)|binding-associated region:?-302(MINT-715469)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"	200	234			binding_associated_region		O92837|P03087
O92837	P03087	uniprotkb	uniprotkb	1891767	1891767	12021324	0.7	-1	bait	prey	"psi-mi:""MI:0096""(pull down)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-8423400|mint:MINT-69610	-	binding-associated region:200-234(MINT-715460)|glutathione s tranferase tag:?-?(MINT-715462)	his tag:?-?(MINT-715471)|binding-associated region:?-302(MINT-715469)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"	200	234			binding_associated_region	undetermined_position	O92837|P03087
O92837	P03087	uniprotkb	uniprotkb	1891767	1891767	12021324	0.7	-1	bait	prey	"psi-mi:""MI:0096""(pull down)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-8423400|mint:MINT-69610	-	binding-associated region:200-234(MINT-715460)|glutathione s tranferase tag:?-?(MINT-715462)	his tag:?-?(MINT-715471)|binding-associated region:?-302(MINT-715469)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							O92837|P03087
O92837	P03087	uniprotkb	uniprotkb	1891767	1891767	12021324	0.7	-1	bait	prey	"psi-mi:""MI:0096""(pull down)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-8423400|mint:MINT-69610	-	binding-associated region:200-234(MINT-715460)|glutathione s tranferase tag:?-?(MINT-715462)	his tag:?-?(MINT-715471)|binding-associated region:?-302(MINT-715469)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"						undetermined_position	O92837|P03087
P0C6X7	P0C6X7	uniprotkb	uniprotkb	227859	227859	16226257	0.68	9606	bait	prey	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7844138|mint:MINT-72762|imex:IM-11111-6	-	his tag:?-?(MINT-1487918)|binding-associated region:3241-3546(MINT-1487916)	his tag:?-?(MINT-1487927)|polyprotein fragment:3241-3546(MINT-6742071)|binding-associated region:3241-3546(MINT-1487925)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P0C6X7|P0C6X7
P0C6X7	P0C6X7	uniprotkb	uniprotkb	227859	227859	16226257	0.68	9606	bait	prey	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7844138|mint:MINT-72762|imex:IM-11111-6	-	his tag:?-?(MINT-1487918)|binding-associated region:3241-3546(MINT-1487916)	his tag:?-?(MINT-1487927)|polyprotein fragment:3241-3546(MINT-6742071)|binding-associated region:3241-3546(MINT-1487925)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"	3241	3546			binding_associated_region		P0C6X7|P0C6X7
P0C6X7	P0C6X7	uniprotkb	uniprotkb	227859	227859	16226257	0.68	9606	bait	prey	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7844138|mint:MINT-72762|imex:IM-11111-6	-	his tag:?-?(MINT-1487918)|binding-associated region:3241-3546(MINT-1487916)	his tag:?-?(MINT-1487927)|polyprotein fragment:3241-3546(MINT-6742071)|binding-associated region:3241-3546(MINT-1487925)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"			3241	3546		binding_associated_region	P0C6X7|P0C6X7
P0C6X7	P0C6X7	uniprotkb	uniprotkb	227859	227859	16226257	0.68	9606	bait	prey	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-7844138|mint:MINT-72762|imex:IM-11111-6	-	his tag:?-?(MINT-1487918)|binding-associated region:3241-3546(MINT-1487916)	his tag:?-?(MINT-1487927)|polyprotein fragment:3241-3546(MINT-6742071)|binding-associated region:3241-3546(MINT-1487925)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"	3241	3546	3241	3546	binding_associated_region	binding_associated_region	P0C6X7|P0C6X7
P03070	P03070	uniprotkb	uniprotkb	1891767	1891767	8648648	0.44	-1	neutral component	neutral component	"psi-mi:""MI:0030""(cross-linking study)"	"psi-mi:""MI:0407""(direct interaction)"	intact:EBI-8681160|mint:MINT-72967	-	binding-associated region:83-708(MINT-1517541)	binding-associated region:83-708(MINT-1517534)	"psi-mi:""MI:0086""(polyclonal antibody western blot)"	"psi-mi:""MI:0086""(polyclonal antibody western blot)"	83	708	83	708	binding_associated_region	binding_associated_region	P03070|P03070
P03114	P03120	uniprotkb	uniprotkb	333760	333760	9223484	0.68	559292	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-8608915|mint:MINT-73414	-	tag:?-?(MINT-1526191)|mutation decreasing interaction:330-330,412-412,482-482,438-438,494-494,496-496,439-439(MINT-1526183)|binding-associated region:144-649(MINT-1526181)	tag:?-?(MINT-1526198)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P03114|P03120
P03114	P03120	uniprotkb	uniprotkb	333760	333760	9223484	0.68	559292	bait	prey	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-8608915|mint:MINT-73414	-	tag:?-?(MINT-1526191)|mutation decreasing interaction:330-330,412-412,482-482,438-438,494-494,496-496,439-439(MINT-1526183)|binding-associated region:144-649(MINT-1526181)	tag:?-?(MINT-1526198)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"	144	649			binding_associated_region		P03114|P03120
P03114	P03114	uniprotkb	uniprotkb	333760	333760	9223484	0.37	559292	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-8608953|mint:MINT-73415	-	tag:?-?(MINT-1526224)	tag:?-?(MINT-1526217)|mutation decreasing interaction:330-330,412-412,482-482,494-494,496-496,439-439(MINT-1526210)|binding-associated region:144-649(MINT-1526208)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"							P03114|P03114
P03114	P03114	uniprotkb	uniprotkb	333760	333760	9223484	0.37	559292	prey	bait	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	intact:EBI-8608953|mint:MINT-73415	-	tag:?-?(MINT-1526224)	tag:?-?(MINT-1526217)|mutation decreasing interaction:330-330,412-412,482-482,494-494,496-496,439-439(MINT-1526210)|binding-associated region:144-649(MINT-1526208)	"psi-mi:""MI:0078""(nucleotide sequence identification)"	"psi-mi:""MI:0078""(nucleotide sequence identification)"			144	649		binding_associated_region	P03114|P03114
P06465	P06465	uniprotkb	uniprotkb	10583	10583	16249186	0.44	-1	neutral component	neutral component	"psi-mi:""MI:0114""(x-ray crystallography)"	"psi-mi:""MI:0195""(covalent binding)"	intact:EBI-963851|rcsb pdb:2b9d|imex:IM-14542-1	-	binding-associated region:64-64|binding-associated region:62-62|binding-associated region:66-66|binding-associated region:64-64|binding-associated region:72-72|binding-associated region:48-48|binding-associated region:59-59|binding-associated region:63-63|binding-associated region:77-77|binding-associated region:73-73|binding-associated region:61-61|binding-associated region:81-81|binding-associated region:83-83|binding-associated region:76-76|sufficient binding region:44-93	binding-associated region:62-62|binding-associated region:84-84|binding-associated region:80-80|binding-associated region:82-82|binding-associated region:82-82|binding-associated region:81-81|binding-associated region:76-76|binding-associated region:59-59|binding-associated region:83-83|binding-associated region:48-48|binding-associated region:73-73|binding-associated region:63-63|binding-associated region:61-61|sufficient binding region:44-93	"psi-mi:""MI:0396""(predetermined participant)"	"psi-mi:""MI:0396""(predetermined participant)"	64	64	62	62	binding_associated_region	binding_associated_region	P06465|P06465
